bios,country,name
"Ameera Patel is a Jo'burg born actress, writer and poet. She completed her degree in Theatre and Performance at the University of Cape Town in 2005, where she was on the Dean's Merit list and became part of the Golden Key Society. Her professional theatre performance record includes The Suit (2006), The Bonfire Theatre Company (2006), Victory (2007), Romeo and Juliet (2008), The Insatiables (2008), On Cue Theatre Company (2009), Hot Seat Confessions (2009), Ma Lindi and the Sex Strike (2010).She is one of the founding members of the Rite 2 Speak poetry collective. Rite 2 Speak started in 2004 and has performed at various corporate events, festivals, bars and events with some of the highlights including National Women's Day (2008), Urban Voices (2009), The Grahamstown Festival (2009) and Heritage day in Portugal (2008).Her current projects include Rite 2 Speak gigs, Hamlet with the Framework team and facilitating writing workshops for the Jozi Book Fair.",South Africa,"Why do we stop?, Why is everything just too much?, Are we stuck?, Trapped in closed communities, scared to step out of the gates? Breeding inwards, Yes, I'm Indian, a born Muslim, but what does that really mean?, In this newly found Arabian oil terrorist ground, women start to cover up, sheeted from head to toe, it's becoming the newest fashion show, to defend your roots and ancestry and do you know what's really funny, is that this trend comes right back down to me, when we tease and joke that my cousin, three names long, that's Ziyaad Mohomed Adam, will be turned away by customs officials, he might have a bomb!, He fits the terrorist description you see., This Muslim guy is discriminated against due to his/my family., I'm tired of losing my identity!, But I feel like Achilles, weakness resides in my lower heels, my knees just can't bend, have to move to grow to change, to lift my face, to the rays again, to reclaim again and breathe., My body freezes in the breeze that moves only the trees., I'm tired of all the words circling and circling., How do we let go?, Into more, into love, why don't we slip in, dive in, allow it to consume us?, How can we deny this?, The thought lives and we talk and we talk and we talk, but when will we walk?, I'm ready to fly., Let the talking die, let the talking die, let the talking die"
"Amir Sulaiman is an accomplished poet, activist, recording artist and a 2 time HBO Def Poet. Host and performer for national Breed Love Odyssey Tour with Mos Def and Talib Kweli and special guest on KRS-ONES Hip Hop Lives Tour there is a steady but ever increasing buzz building around Amir quickly gaining the attention of everyone from Kanye West and Russell Simmons (who referred to Amir as .úblessed.ù), to Dave Chapelle. In addition, organizations such as the ACLU, Amnesty International and Jesse Jackson's Rainbow/PUSH Coalition have used Amir's poetry and voice to bring life to multiple campaigns dealing with social justice and art.His growing popularity garnered him a record deal with UPRISING Records, the label that delivered the hugely successful multi-platinum band, Fall Out Boy. His national debut album, Like a Thief in the Night, has been released nation wide to critical acclaim. The album fuses disparate genres with impassioned narratives of tragedy, redemption, and revolution. Boasting guest appearances from Mos Def, Goapele, and The Last Poets, Like A Thief in The Night has created a soundscape that could easily serve as the score for a classic Martin Scorcese film. In a nutshell, this ground-breaking album signals a desired change bringing about a level of consciousness sorely needed in today's music industry and society in general.
Amir has been performing at countless colleges, universities, high schools and community centers. As a member of Youth Speaks in the Bay Area California, Amir works regularly teaching kids by way of spoken word and focusing on the union of art and education.Consistently working across the United States and Canada, Amir has shared the stage with artists such as Kanye West, Lauryn Hill, Common , Mos Def, Talib Kweli, Pharoah Monch, Floetry, Black Thought of The Roots, Goapele, Stevie Wonder, The Last Poets, Dead Prez, Ghostface of Wu-Tang Clan, MOP, and more.",United States,"A mute man talking
A blind man watching
Our brothers die, And I've built our coffins
Much too often
It gets so dark when
Our mothers cry, I know more than I want too
But not nearly enough
I thought I was writing for the love
But it just turns to be lust
And my trust in us was gullibility
The reality is just that
I'm not who I was
Nor who I will be
But sometimes I feel me visiting
And I fill me with the lush scent of soul
The flavor of feeling
The rush of color
I think the pleasure will kill me
The pressure squeezes and spills me
To the language of the unseen
The unthought, and the undreamed, And my heart begins to pump
The thick/ rich/ fluid of verse
Searching for a simple word or phrase
To fill the phase between
The wet nurse and the black hearse, And I know sometimes my words
Lack worth
Lack depth
Lack gerth
Lack the distance to travel from
Heaven to Earth
Or from mind to brain
Or from soul to flesh
I hold my breath and my hollow hope
That my hope ain't hollow, It's just a message in a bottle
Or a genie in a bottle
Or a wino and his bottle
Or a baby and the bottle, The symphony of me is stuck in staccato
Like a broken/ break beat/
Breaking the vinyl into
Bits of blackness spinning in circles, Come down Selecta
Last night the DJ took my life
But left the speakers empty
And the speakers speechless
And the dancers still
Dancing or not
They don't see our music as musing
Merely amusing amusement
How could they know in
Basement booths
We've balanced the nexus between
The soul and the flesh
And the science and intellect
We rock genius like a necklace
We drop jewels in gutters, But they fooled our mothers
Into thinking that they could raise sons
In the darkness of night
But isn't the night always dark before the sun is raised?
And when the sun is raised
Doesn't he make the block hot
And the eye squint
And the breath sweat
And the tree grow
And the children play
The rays sun makes the pavement see
The wavy apparitions
The mirage of the future, But I know
I am a dead man walking
A mute man talking
A blind man watching
Our brothers die, And I've built our coffins
Much too often
It gets so dark when
Our mothers cry, So now I'm walking the thin line
Between love and hate
Between words that are spoken
And beats that break
There's a thin line between
A bullet in the chamber
And the bullet in the brain
I'm civilized, sane, with a little savage in me
There's not really a little savage in me
Just a lot of passion in me
And sometimes the soul rolls
Outta control without a glass of rem'y
And some people are fine with being slaves
Just as long as massa's friendly
And let us spit fire into match
Until the mag' is empty
You don't need to pass the cem'y
To know there's a little assassin in me
Just know
There is no soul taken accident'ly
The angel of death has an itinerary
Snatch you right outta your Bently
Right outta your Gucci jeans
Right outta your Fendi
Right outta your dashik'
And right outta your Kente
Allah has written in his book
And there is no erasing the pen's ink
So why do we ignore what God knows
And rely on what men think
We're just boys in the backstreet
Just tryin' to get in sync, But my balance is off
My talent is lost
I've married my art, but
She's barren of course
And I hear in her voice that
We're headin' divorse
So before court
I may have to kill my dreams and
Bury the corpse
I shed a tear for the loss
I feel like I'm bearing the cross
My conception was so far from immaculate
For the most part
We're just a bunch of bastard kids
Our fathers are gone
Caught in the cycle of sadomasochism
Because our lives are dead wrong
But resurrected like Lazarus
Cause our mothers are strong
And our romances are just about
As romantic as the master's kiss
But we have got to move on
And our lives are about as painful
As the master's whip
We have got to move on, I wish I could sing for justice
But I know no such song
I know about Shohada
Souha and Koran
Jihad, martyrdom, and homemade bombs
I know you think I'm wrong
For talking about homemade bombs
But the leader of the free world
Can drop A-bombs and napalm
And got the nerve to ask
.úWhy do they hate us?.ù
When they still got the blood on their palms
They stay long
And sing songs about freedom and justice
All bloody day long
And claiming they're right
But they've got to be dead wrong
And maybe I'm just too drawn
And head strong, And now
I'm ready to run head long
Into enemy fire
It's like we desire death
I just got the same blood that
Pumps through a lion's chest
I come from a line of warriors
Who took off the leather vest
And sheathed the sword
And sprint into the thick of the mess
I am begging them now
Show me your best!, There are two possible outcomes:
One, I could send them to rest
Or two, they could send me to my lord
I like the second one the best
I will kill the killers who live
I've settled for less, Because I'm already a
I am a dead man walking
A mute man talking
A blind man watching
Our brothers die, But I won't build our coffins
And I will not take part in
The death of my heart's kin
I would rather die."
"Amira is a creative artist, poet, writer and educator, born in Ethiopia, based in the U.S.She focuses on using creative mediums as a narrative tool, with a particular interest in alternative narratives of the global south: .úowning and telling our .òown' stories while advocating for viewing ourselves through our own lenses, recognizing that stories are born with a right to be told.ù. Her creative artistry deals with promoting the African cultural aesthetics, documenting narratives of journey -stories we live in. While producing and curating these stories, she hopes to assess social issues, explore the beauty of arts, culture, and wisdom of the global south, in connection to the world.She is a regular contributor to Pambazuka News and chief writer, as well as editorial team member at AfricaSpeaks4Africa.org. She is currently at work on, in collaboration with a South African poet and Kenyan writer, producing Podcast stories (Afro'pick and coffee) that accentuates the everyday stories of the African disaporans, residing in America.",United States,"The garden full of gardenia
the smell perfectly lingers
as I imperfectly linger
on the blood-full skied
                                night, the night I should have talked
to the soul of his truth
before I laid my body down
maybe even lifted the many shades
before I bowed down to belief, I should have sent a prayer out
to the ancestral land
poured out libation
                          offerings
listen for a word back, a sign of consent
that he is King deserving
                           of a Queen
before offering my body
made to be a King's Queen, between the sky and gardenia
we made such a pretty picture
			  blinded
I laid in-between
offer I did my body to him, Before brushing the stars
outta my hair
as the stars still peeked
at a face still hot
from the night's heat
while his smell still lingered
before his shadow disappeared, I found out
He's not my king."
"An Atlanta native, M. Ayodele Heath is a top-10 finisher at the National Poetry Slam. A graduate of the MFA program at New England College, his honors include: a McEver Visiting Chair in Writing at Georgia Tech, an Emerging Artist grant from the Atlanta Bureau for Cultural Affairs, and a fellowship to the Caversham Center for Artists in South Africa.Ayodele has been a featured performer at such venues as the National Black Arts Festival, the Nuyorican Poets Cafe, and the TurnerSouth .òMy South Speaks' television campaign, as well as universities and festivals across America. His first book, Otherness, is available from Brick Road Poetry Press.",United States,"Killed.¶ I killed him with my own hands.
.ìAime Cesaire
Tuesday, December 12, 1993
I sat at my window, gazing at the city.î
bright lights, lasciviousness &amp; lies,
sleek subway trains, and steel towers that soared
to the sky.
In swoons I dug the swing
of Miles' horn ridin the high hat,
bathed in the subtle static
of my old phonograph.
The wintry wind whistled
a somber tune as a lone cloud
vanquished the moon.
Echoes of gunshots hung heavy
in the air, and somewhere
a mad drummer played his beats.¶, Yo, there's that cat Nat.î
I lifted his rims a while back, 4:23 on my wristpiece.îA. M., that is.î
the phone rang, and who could it be
but Tracy
in herbal heights ramblin
bout her glittering dreams
of showbiz.îruby rings, candy-apple cars,
&amp; scarlet sequined dresses.  Baby,
I'm gonna be a star.
Miss Smile Brite 1979.  I was
Miss Smile Brite 1979.
At the age of five I was live,
&amp; I know my face was destined
for magazine covers.
She'd had many lovers
tryin to sex her way to the top.
Then, on her voice, rained the patter
of teardrops.îfallin &amp; fallin.
Tracy's bawlin drowned the sounds
of Ice beatin his wife in the flat next door.
I could do no more than listen
as the voice on the other end
wailed of having no friends
and of being alone in this city
of being so alone in this city.¶
In the daylight some called her siditty
but only I knew of her vulnerability
in the night.  Come on over, she said.
I need a shoulder
to cry on.  Then, a dial tone.¶, So I slipped on my gear
made my way
toward the West side of town.
Caddy out front, brothas smokin blunts.î
the dawn wrestled with the night.
The fiery ashes of a cigarette
lay dying on a stair, and somewhere
a mad drummer played his beats.¶, There's that pimp Kimp.î
duped him for a dimebag of hemp.¶, Slapped fives and gave dap,
floored the gas but had a flat.
Wouldya believe on MLK?
Got out, locked my doors,
Givin nods to the whores
packin it up for the night.
Went on trailed by a cop,
ducked into a doughnut shop
&amp; ordered my usual.
After done I made a run
two blocks west of Ashby
in the shadow of the rising sun.
Finally, I made it to Tracy's crib
on the West side of town., Yo, there's that nig Pig,
from whose hoochie I took a swig.¶, On the West side of town
I took the elevator to the floor
where Tracy stayed.
And from somewhere
near the end of the hall played.î
or so it seemed.î
the blatant blare of trumpet screams.
On the fourth floor,
Tracy already stood in the door
of apartment G.  Tracy was bawlin
as I was stalling, wonderin
what the problem could be., Can I come in?  In a daze, she nodded.
I poked and prodded
to find her trouble.
And she looked to the double beds
in her bedroom.
I didn't know what was in store
till I looked at the floor and saw
a pool of red.
My reflection in a pool, blood red., Lying face-down on the carpet
was a brotha.îdead.
I turned his face over, And it was me
it was me
It was me., And somewhere
a mad drummer played his beats.
A dance with death
to the rhythm
of urban percussions."
"Andile Nayika was born and raised in Grahamstown, South Africa. He was first introduced to storytelling and poetry by his late grandmother.  He has published his works in various poetry publications like Oppikoppi's <strong>Ons Klyntj</strong>. He has also written for media houses such as the <strong>Mail &amp; Guardian</strong> in Johannesburg. He is a founding member of the Writers Movement, which collaborates with the Rhodes University English Department to produce the Cycle of Knowledge. ",South Africa,"If I was a thought I would choose to sail .ì
On the shallow seas of young minds that loose and fail,
Confined by confinement in a prisoner's shoes in jail.
Minds accused to ail as patients of eternal sickness in abuse's tale., If I was a thought I would choose to be planted .ì
Root-deep and fertilized in the mentally .ì bruised and demented
And refuse to leave centred the power of a foreign enemy
Exchanging blows with false reality close to falling sanity, If I was a thought I would build sacred temples .ì
Within souls where hatred settles as the devil's naked samples.
In your grey thinking matter I'd give rise to vagrant rebels., If I was a thought in blindness' mind I'd cry for support
to rearrange the purpose of chaos in the life that we have got., If I was a thought I'd fill holes in empty places .ì
Where cold roams through broken windows to kill souls of angry faces., If I was a thought I'd be no accidental idea-
Built on luck and co-incidence, harassed and strangled by fear
But a self- mental pioneer;
A thought of revolution's emotions in motion to settle right here."
"Andrea is cultural activist, writer, storyteller and award-winning actress, having worked extensively in theatre, radio and television, as well as being traditional Xhosa praise singer (imbongi) and bead craft artist.She began Human Movement Studies at the University of The Western Cape and later completed a Drama diploma at the New Africa Theatre. Some of the highly successful professional productions she's featured in are Beading my Soul in collaboration with The Mothertongue Project, Dancing 2 Patterns and Good Heart at the Baxter Theatre and Romeo and Juliet, Ufeziwe okanye Inkohlakalo, Giants and It's My Life at the Artscape Theatre.Andrea also facilitates storytelling workshops for adults and children's programs at various national festivals. She featured in international movies such as The Final Solution and The Piano Player and landed parts in local television series such as Big Okes, Backstage, Madam and Eve, Thetha Msawawa, The Ringmaster, Stokvel, Unchain my Heart, Home Affairs making her a household face and name in South Africa.",South Africa,"I remember Hewu
I remember Eastern Cape
Windswept hills, whistling valleys,
Ice cold sweet waters
Laced with earthy rusty aroma, I remember Eastern Cape
With its bareback horse riding men
Its women with big washing bundles balanced systematically on their heads
Numerous housewives with big wood bundles skillfully placed on their heads
Newlywed grooms showing off their nice, elegant cut tweed jackets from Jozi
Young makoti`s busy collecting freshly dropped dung to paint their newly built houses, I remember Eastern Cape
Its narrow paths charmingly leading you to the river
At the riverside young maidens teaching each other
The enticing titillating hip swaying sensual dance ukutyityimba
Young boys competing to see whose isagweba will hit a bird first
Smaller one`s teaching themselves to whistle, Oh! Remind me and I will remember
Old men sitting under a big shade next to the kraal catching the sunset
Happily clad in worn out Stetsons, long warm military jackets
Shiny old army boots, without a care for the scorching heat., Smoking pipes on one hand, an ancient worn out newspaper on the other
Pipes puffing away into the future reminding me of my grandmother`s pain tainted lamentations `Wemk`ujujuju oomaqegu amdaka, wayomlahla eGoli umntanam u-Mabhudlela
Kwandonga ziyaduma, kwamntanam wendele phi, kwanyama ayipheli kuphela izinyo lendoda!
Bathi unxiba izihlangu epidural, zamakhulu amanje. azuguga msinya, ngenye zomthwala zimbuyise
Choo .ì choo the train that took my child Mabhudlela to Johannesburg- the rumble city, gold city, where are you married to my child?, meat city where meat is so abundant it never runs out only the men`s do. They say now he wears expensive shoes, worth so many hundreds.¶they wear out easy, one day they will bring him home., I remember Eastern Cape
Its women putting Vaseline on their cracked hands &amp; soles
Young women using red hot metal combs, stretching their hair in a bid to have it silky
Burning it smoke rising from their craniums, air stinking of burning cat hair-like hair, I remember Eastern Cape people
Aged women usefully smearing old tractor oil on their legs
Never mind the legs then looking as shiny as aging English table legs
I remember seeing these people, I remember seeing horse riders preparing for the long journey to eBisho from Hukuwa
Horses clad
Nostrils wide open breathing out warm sweet
I remember watching in awe as women beaded their seemingly tattered dance skirts
which I must say took my breath away when they were finished., I remember times
when we would sit in the sun
with my cousins and laugh at grandma .úBongwe.ù
patiently separating the best corn from the bad
to show off to other villagers
how nice her land was through her crop and its bearings., Remind me and I will remember UMatshangisa
my elder paternal uncle's children's nanny singing her sweet songs
Her feet stamping hard on the ground causing a soft fuzzy surge of dust to rise
up, up, up till it disappeared somewhere halfway up her skirts.
Her shirt sleeves rolled up to her elbows
Busy as a bee sifting amarhewu and umqombothi
for the men to take with as they left early with the horses to Ebisho., I am reminded of the countless times I longed to be in those buses
bumping against sweaty mama's in the hot summer heat.
Bodies swaying gently rocked from side to side
to a land where the mind becomes a pen
that scratches and scribbles, jotting down this and that., I remember times when as a high spirited girl
I would watch dust trailing behind the Mayibuye bus
as it snaked down the Enqobokeni rock passes
taking me further and far away
from the mountains I loved., Like a carefully but tightly packed parcel I would rock from side to side
as my mother always over dressed us
for this journey with layers of jerseys
and every now and again a blanket, an attribute of her Sotho origins., I remember how I consoled myself for missing out on imibhiyozo,
I would picture myself with a big chunk of tender lamb and rice in my plate.
This was a ritual we observed when we reached Lady Frere, Kwa-Nonkunzi
where we stayed with mama as she worked at Glen Grey hospital.
Toiling away as a low paid nurse tending to people's lives,
I always wondered why &amp; how she couldn't heal my broken heart
From the dreaded disease called cultural imibhiyozo deprivation., The nice chunky meat was from a generous sheep
that offered us its meat which never failed to warm our hungry tummies.
My grandpa always slaughtered a sheep when we arrive for holidays in honour of us passing our exams and when we left. I remember my mother's excited face like a small child opening the white mealier meal packet that held our share-a hind leg.
Mama:Usiphe ntoni utata kule gem? Me:Umlenze mama., How remembrance is, remind me, and I will remember.
The time when I danced with my bottle top etched sack cloth skirt
and the few times when my distant cousin I still haven`t figured out how we are related who always seemed to be near, taught me and cousin Khaya to dance the boys dance,
.úumteyo.ù, through his fire lit shadow., Remind me and I will remember
how I was a girl during schooldays and a boy during holidays
hunting birds and herding turkeys. On an odd day out of Kaleni's sight my grandpa
riding the strongest of the male goat, damn goats smell but the ride was nice, Remind me and I will remember
the day we were sent to go buy
brown sugar at Romani village
and we got lost., How we had to skid down 50-70 metres long dongas
and how with our hot burning behinds, ever present distant cousin Thulani found and beat us because us city heads wasted his perfect afternoon
He carefully flogged us on the hands so the adults wouldn't notice
because we were sissies for being lost, we disturbed his rest as he had to search for us., Oh how I remember, sweet precious blessed memories.
remind me .ì I might remember .¶"
"Anele is a 28 year old poet raised in East London, South Africa but now based in Cape Town. Dead Prez and Tupac Shakur have been his main inspiration throughout his career.Anele is well known for his witty poetry recited in his mother tongue Xhosa. He has been performing with Lingua Franca since its first Naked Word Poetry Session. In 2013 he performed at the Zabalaza Mini festivals, and he was a headlining act with Lingua Franca during the Naked Slam Poetry 2013. Anele is also part of a Floetry project run by Nanziwe Mzuzu under Bozza.mobi.He won the Cape Town leg of DFL Lover + Another Poetry Challenge in 2013 and was placed fourth at the Nationals.In 2012 he wrote and performed a poetry production called People from no People at the Black Box Theatre in Delft.",South Africa,"Ngentliziyo yam yonke iphela bendimtandanda, ndakhe ndamona futhi kwamna ndazisola, ndizamile ukuxolisa nothando nmdal'phokoza lwathi kratya, nasempefumlweni lwathi chatha yena wathi cwaka kum kwavela kwathi qatha, uAdam wadliswa nguEfa emyezweni, nabantu baqala bath'undiphehla eyezeni, kaloku undibetha ngoncumo  kuvalekubuhenyu kuvele ububhelu,ndivume nobayiyo, ngokundikhathazwa yimpilo yena apho akhoyo inoba uhlelingezililo, bendingamthatheli nqgalelo xa esithi masisebenzise idyasi kubandandisazi xasithe sabila samanzi, uzayinyothula ngokwakhe kumhlaba ongezantsi,intlungu andinike zona zezomphe lulwamvila lombulo indlele'bheka engcwabeni ndikuyo aphokungayi libuyayo kuyo., Kaloku undosulele nesifo undiphanthele ikamvalam ulibulele kaloku uthando lwakhe kum ibilelobumenemene, bebendityhola ngokuthandintombi kodwa kum azitshomi nguyeyedwa ebendizakumenza umakoti, ewe ngokubendisakhula bendidlala naye kublack toti futhi ndibengutata nakonopopi., Ndingan dingabhala ngaye ndibalise,ndiqalise ngobuhle bakhe ndibucacise ndinibonise., Mna naye besiqubhela enyeleni emanyaleni sibonanebumnyameni ndimkhupha ekuseni nasekutakeni, suka wandenzela phantsi ibhedi zikhona wandifaka intshoolongwane ngokundiphila nelogciwane, xandi hamba ndiyadinwa liphika nempahla ndiyayoleka ngathi kusebusika nesisifo asinachiza batshilo kum oqgira,ndimxelele ngoludaba ndambuza waphika suka walila mna  ndahlala phantsi ndacinga undosulele isifo undiphathele ikamvalam ulibelele kaloku uthandolwakhe kum ibilelobumenemene, ndothuke kwabanda omongo ndakuzi fumana iziphumo zengxilongo nekamva lamfiliba andabinathemba lakuphila,ndiyile esiguqweni ndafika ndathandaza ingalozam zam ndazolula esibingelelweni ndamangala,uJeremaya ishumi elinesixhenxe ivesi lishumi elinesine ndiphilise nkosi ndophiliswa ndisindise nkosi ndosindiswa, lamazwi kum aphindaphinda yangathi unyango luzakuvela noThixo uzakundamnkela, kanti ndiyaphazama ndikude nezulu inzulu yemfihlakalo senzekile lona umonakalo, sendidyobhile ngencindi yesilonda somphefumlo kodwa sakuze sidibane kuba inyawo alinampumlo, kaloku undosulele isifo undiphandele ikamva lam ulibulele kaloku uthando lwakhe kum ibilelobumenemene, Thina besiphathaphathana simuncamuncana sibhojabhojana kanti siyosulelana lomhlaba sakuwushiya singenabantwana,indlela ebheka esibelekweni isethambekeni ofuna uyakhona usekungciphekweni,mna ndathi mazilime ziyetyeni jonga ngoku ndixingedakeni kungekudala ndizanimemela emngcwabeni,zangendamkrokrela ngothando ebendikhokela kwizanzulu zobusuku ebendifowunela esithi sawufa silahlane kanti uyayolela,ebethanda nondincokolela esithi xa uphoxwe luthando kunzima ukuxolelela, Ooh madoda ndidanile lomntana undiqhathile undibhanxile bendisithi uthando undinikile kanti yintshologwne uyifakile,ebendibambe genqgondo ndingawufumani nomkhondo sukaseza sona isifo ngesondo, tshotsho angafi mna ndizakuzila kuthixo ndingatyi azangathi lomthandanzo ngowekrakratshi,enkosi bawo ngondityhilela ebengazondixelela ukuba lonke elixesha uyandijolela kaloku undosulele, Translation, Ndosulele is a poem of HIV and AIDS with a focus on trust. Many people are gettting infected with the virus because they trust their partners. However, trust is not a good protection against the virus only safe sex is."
"Anelisa Mbotyana .úDizadala.ù considers herself as one who was called to reveal secrets. This 19 year old has lived in Port Elizabeth, South Africa her whole life. Her ancestors bestowed on her the gift to be a praise poet from the tender age of five.",South Africa,"Wode zitsho langa lakuthi
Wena dizadala kade bemkhahlaza
Wena  ntonga yomsimelelo
Yenz'icang'uvokotheke
Wena mtsalane nt'akabantu
Wena nking'iva betyokomela
Hay'uluntu lunjalo
Yaz'ilizwe libhentsile
Ligragramile lenziz.ùthunga
Acinezela ntaka yakuthi
Wena s'hlwele nawe ntaba
Mzimba wakwa Nanga
Ilizwe ligragramile ngoba nambhlanje
Abantwan'abasamameli bazali
Lityokomile ku Nanga
Ngob'oomama babe zikiza
Babekuva ntang'akuthi
Besithi .úNdibilili ndayilahlela ndayikhahlela.ù
Mcel'ecali nyanga wade wandilika
Ndibilili styotyoto ngabuwa
Uyaw'd'ulalele hay'ke nomZulu
Yenz'abangaziyo
Yenzimithakela yentab'ezingaviyo
Yenzilanga lokugqibela
Hambela ngoNanga
Yazi yintoni?
Khanijong'ilizwe linjani na
Ngoba kaloku abantwana ba today abambekanga
Imbekw'abanayo, u.ùhayi.ù ngu .úewe.ù
Umfelel'ucwaka
Watsho manwele, watsho kaNanga
Dizadala kade bemqongqotha
Mazw'amade ewakhahlela
Hay'lizwe
Ndee gram. Iyhoo!, Translation, The poet addresses the moral decay in society as a result of people neglecting their traditions and old ways of doing things.  She looks at the way the youth has lost respect for the elders and for culture, how the quality of their lives is at risk because they have forsaken their customs and way of life."
"Anna is a mother, a yoga and art teacher who runs writing workshops and self growth courses. One of her passions is counselling and she sees life as a spiritual journey. Her poetry has been published in various literary magazines including: COSAW Gauteng Cultural letter, HerStoria Volume 1 NO. 3, Something Quarterly Volume 2 No 4, New Coin, Ear, Bleksem. Botsotso Contemporary Cultural Magazine. Anthologies which published her poetry- We Jive Like this, Dirty Washing, IsisX Botsotso Publishing, Like a House on ire Cosaw.She recently completed a Self Growth Workbook, Walking the Labyrinth which has not yet been published. She has participated in various poetry readings and performances.",South Africa,"Dancing
Sliding
The floor is a lake
Gliding
Wind and wings
Unfurl
With harp strings
Plucking, Raindrops
Fingertips
Meet and flick
Fabric swirls
Full moon rises
Catching the swish
Of her hair
A dew drop
Settles on her lips, Crouching
Birthing
Sighing
Sighing
Her heart is opening
Everyone
Everyone
Falls in"
"Anne Moraa is first and foremost a writer. A powerful spoken word artist, she has won several competions (Slam Africa, Kwani Open Mic) and has performed pieces at major festivals (Kwani Litfest, StoryMoja Hay Festival).",Kenya,"To artists, producers, and lyricists
I know how to wine slow wine
And wine up
If you take the time to wine and dine me
So step up
See I dance along
And bounce along
To the raging beats of these banging songs
But the words to the songs are just
All
Wrong
I do not want you to smack that all on the floor
Smack that till I get sore
Smack that
Oh oh
Oh oh
Oh, I will not drop it low boy
Drop it drop it
Low boy
Nor will I shake that ass and watch myself
Shake that
And show you what I'm working with
Do not tell me to shake what my mamma gave me
You see my mamma gave me wits and smarts and class
Do not talk about my mamma if you are talking about ass
And talking about class
I will not call you big poppa
Pappie
Or daddy
Cant you see how sick that it is really?
I don't care about your sex room
Or that invented sex Mr Flinstone
Because quite frankly Id rather be with the one who perfected sex
Or at the very least gets that sex is more than a quick fix for a whatever conflicts and complexes that you cannot quite fix
See I can tell that
Though you have such a big ego
Mmmmm
Its not big
Its not wide
Its not strong
Its not thick
You're not much
You're not tough
And you talk like this but you cannot back it up
I am looking for that love sex magic
And I don't think that you can quite hack it
For this African queen
Girl of your dreams is really that
So the next time you write those lyrics
And drop that beat
Try and do it with a little more
R-E-S-P-E-C-T"
"Annie Moyo's poetry that has been inspired by an upbringing that was rich in exposure to various traditions.She currently resides and works in Cape Town, but her work draws strongly on her experience of being raised and schooled in Zimbabwe. She maintains close ties with her family and the people of Zimbabwe, a bond that resonates powerfully in the way she interprets the world around her.",Zimbabwe,"You are a third world capitalist leader;
With a thousand words spoken yet not one with meaning,
With empty bureaucratic promises made with little or no intention
You hold heart-beating lives in your palm.
And your self-proclaimed education has resulted in so many broken homes.
You are an anti democratic leader, a dream vigilante,
Residing in the house of politics filled with politics, politically incorrect;
In the blatant disrespect and disregard for the people that helped put you there.
You have brought shame and embarrassment to this land.
You have unwisely chosen to bite the hand that helped feed you.
Please elaborate on some of the decision you have made,
Wasn't there an oath you had to take?
Now you chose to forget that and put my future at stake.
While you sit in leisure and shop in Malaysia,
We weep,
For you have chosen what we have sown to reap.
I wonder, at night, when you close your eyes, do you sleep?"
"Anthony .òTy' Ngachira is a 22 year old from Kenya. The budding lawyer tookan interest in poetry while in high school but actively pursued it while at university. He has performed at Kenya Slam Africa, Kwani Open Mic, Fatuma's Voice and Poetry under Stars. He loves poetry because it allows him to be who he wants to be. His work mirrors the African society he has grown up in.",Kenya,"Prologue
So hi guys,
 My name is Ty
 I would like to introduce you to a friend of mine, I would say who he was but I will let you find out for yourselves., Evening, children my name is K+ 254 .òSustained yoking to slavery of the .òenlightened' man' but you simple tons can call me SYSTEM,
Opening History logs
I was build in 1963 AD and have received significant upgrades every 5 years.
The way I work is simple, make the child go through an 8 4 4 education program,
Use a rod to teach them never to question authority, take creativity from them,
Force them to spend nights cramming selected, substituted and diluted  information,
 Then gauge them at who is best at fact regurgitation,
Teach them to expect everything from the gorvenment , yet give little.¶error give favours to them, Maziwa ya nyayo  serikali saidia.¶.¶.¶.¶ error,
Divide them into ethnical groups and let them have their heads
Make sure no man ever question his head
Who drills into their heads, that its us against them,
We would have roads, if not for them
We would have schools, if not for them
We would have water, if not or them
So let us vote not for our good but for their bad, against them,
Let the father teach the child that .¶.¶.¶.¶.¶its coz of them
The process never makes the man see that they are just like them, they are them, Let the citizen fight so he never sees that
They don't even no wha a senator or women rep does,
No poacher been arrested.¶.error
No one responsible for election violence.¶.error
Make law for the terrorist to arrest the journalist.¶error
Land grabber.¶..error private developer,, Should any man or woman seek to question,
Use social media to threaten, policitise then ostrasice eventually ostracize the bad fruit
Keep the potentially good men scared behind tv and phone screens
 demonise them should they hit the streets , meanwhile keep the masses scared with misquoted scripture
after all.¶.ALL AUTHORITY COMES FROM GOD,, There are those that saw the truth of the system,
I would tell you to ask them
Mboya, Pinto, JM, Dedan
Well.¶ you get them, Threats to security, Security, securing the system
God forbid we get ambushed again: westgate
Remind them terrorists are now after soft targets
Never hit them that they are the targets,
Should they raise alarm use hashtags and slogans
#weareone
#proudlykenyan
Cover up wounds that never heal
Keep them open, next five years, the system will  need them, So your children, your president is not the problem,
Your opposition wont solve them,
Mp aren't the problem, senate wont solve them,
They are kings queens ,knights and castles
You are just a pawn in my game, I own
So as you fight and place hope in your vote
I await your children and their children's children's .¶children
Yours truly , the system., Epilogue
So guys, that was my friend system
Now that you know the truth, what you gon do?"
